"VideoId","Types"
621039,"eventcoverage"
630387,"eventcoverage"
613631,"eventcoverage"
151278,"newsitem"
2235,"documentaryreport"
631469,"documentaryreport"
165057,"eventcoverage"
1535,"eventcoverage"
155955,"documentaryreport"
616531,"newsitem"
631648,"eventcoverage"
630283,"documentaryreport"
1857,"newsitem"
615588,"newsitem"
618109,"eventcoverage"
621579,"documentaryreport"
624310,"documentaryreport"
2583,"newsitem"
165084,"eventcoverage"
617826,"eventcoverage"
149961,"newsitem"
613521,"documentaryreport"
2221,"documentaryreport"
151339,"documentaryreport"
627986,"documentaryreport"
62169,"documentaryreport"
155532,"eventcoverage"
613689,"eventcoverage"
638108,"eventcoverage"
2818,"eventcoverage"
73858,"eventcoverage"
10692,"newsitem"
630741,"newsitem"
633428,"newsitem"
3192,"eventcoverage"
160133,"newsitem"
615308,"documentaryreport"
639267,"documentaryreport"
151639,"newsitem"
616306,"eventcoverage"
616483,"newsitem"
631313,"documentaryreport"
1293,"documentaryreport"
625821,"documentaryreport"
630703,"newsitem"
624436,"documentaryreport"
28984,"documentaryreport"
638618,"documentaryreport"
630200,"documentaryreport"
618242,"documentaryreport"
615283,"newsitem"
630091,"eventcoverage"
621669,"eventcoverage"
626032,"newsitem"
2946,"eventcoverage"
1095,"documentaryreport"
616277,"newsitem"
621357,"eventcoverage"
43555,"newsitem"
621300,"eventcoverage"
160092,"eventcoverage"
630457,"eventcoverage"
621275,"eventcoverage"
625686,"eventcoverage"
615490,"documentaryreport"
617854,"documentaryreport"
637681,"eventcoverage"
624385,"newsitem"
616990,"eventcoverage"
1321,"news-item"
1405,"news-item"
1493,"news-item"
1759,"documentary-report"
1801,"news-item"
1815,"documentary-report"
1871,"documentary-report"
2277,"documentary-report"
2661,"documentary-report"
3208,"news-item"
14588,"news-item"
15581,"documentary-report"
21994,"news-item"
61831,"documentary-report"
128749,"news-item"
148241,"documentary-report"
151031,"news-item"
151252,"news-item"
151312,"news-item"
151434,"event-coverage"
151573,"documentary-report"
151856,"documentary-report"
159704,"news-item"
160161,"documentary-report"
614858,"news-item"
615242,"documentary-report"
616693,"event-coverage"
617485,"event-coverage"
617543,"event-coverage"
617569,"event-coverage"
618084,"news-item"
621403,"news-item"
621487,"documentary-report"
624062,"documentary-report"
625793,"documentary-report"
625875,"news-item"
626138,"documentary-report"
630726,"news-item"
631201,"documentary-report"
631671,"documentary-report"
637984,"documentary-report"
638788,"documentary-report"
638813,"news-item"
63466,"documentary-report"
1251,"documentary-report"
2137,"documentary-report"
2207,"news-item"
2718,"documentary-report"
3269,"news-item"
151225,"news-item"
155589,"news-item"
155841,"event-coverage"
164993,"news-item"
173432,"documentary-report"
611962,"documentary-report"
612245,"documentary-report"
615191,"documentary-report"
615437,"documentary-report"
616585,"event-coverage"
624224,"news-item"
625850,"documentary-report"
631446,"documentary-report"
640409,"documentary-report"
983,"documentary-report"
1451,"news-item"
1479,"documentary-report"
1885,"documentary-report"
2053,"event-coverage"
2263,"news-item"
2291,"news-item"
2347,"news-item"
2389,"news-item"
2403,"news-item"
2629,"documentary-report"
2732,"event-coverage"
3155,"documentary-report"
3223,"documentary-report"
63435,"news-item"
71534,"documentary-report"
151461,"event-coverage"
155978,"news-item"
155988,"news-item"
160041,"event-coverage"
164293,"event-coverage"
164676,"event-coverage"
612014,"news-item"
613558,"news-item"
614718,"event-coverage"
615363,"documentary-report"
616659,"documentary-report"
616717,"event-coverage"
616842,"news-item"
617139,"event-coverage"
617326,"event-coverage"
617509,"event-coverage"
617669,"event-coverage"
617879,"documentary-report"
617963,"event-coverage"
620654,"documentary-report"
621015,"event-coverage"
621199,"event-coverage"
621251,"news-item"
624109,"documentary-report"
624152,"documentary-report"
625540,"documentary-report"
625660,"documentary-report"
630173,"documentary-report"
630331,"event-coverage"
630540,"documentary-report"
630774,"news-item"
631177,"documentary-report"
631344,"event-coverage"
637772,"event-coverage"
640371,"documentary-report"
6701,"news-item"
614834,"news-item"
616869,"event-coverage"
617520,"news-item"
620994,"news-item"
621072,"event-coverage"
621414,"event-coverage"
639420,"video-blog"
639525,"video-blog"
639530,"video-blog"
