Video1, Video2, Simulated_Score
630741,621300,0.0
630741,617854,0.0
630741,631469,0.0
630741,1535,0.0
630741,621579,0.0
Video1, Video2, Simulated_Score
151639,621300,0.0
151639,617854,0.0
151639,631469,0.0
151639,1535,0.0
151639,621579,0.0
Video1, Video2, Simulated_Score
624385,621300,0.0
624385,617854,0.0
624385,631469,0.0
624385,1535,0.0
624385,621579,0.0
Video1, Video2, Simulated_Score
630703,621300,0.0
630703,617854,0.0
630703,631469,0.0
630703,1535,0.0
630703,621579,0.0
Video1, Video2, Simulated_Score
151278,621300,0.0
151278,617854,0.0
151278,631469,0.0
151278,1535,0.0
151278,621579,0.0
Video1, Video2, Simulated_Score
165084,149961,0.0
165084,617854,0.0
165084,631469,0.0
165084,621579,0.0
165084,630283,0.0
Video1, Video2, Simulated_Score
2946,149961,0.0
2946,617854,0.0
2946,631469,0.0
2946,621579,0.0
2946,630283,0.0
Video1, Video2, Simulated_Score
155532,630200,1.784812E-4
155532,149961,0.0
155532,617854,0.0
155532,631469,0.0
155532,621579,0.0
Video1, Video2, Simulated_Score
616306,630200,1.784812E-4
616306,149961,0.0
616306,617854,0.0
616306,631469,0.0
616306,621579,0.0
Video1, Video2, Simulated_Score
625686,630200,1.784812E-4
625686,149961,0.0
625686,617854,0.0
625686,631469,0.0
625686,621579,0.0
Video1, Video2, Simulated_Score
621579,165084,8.790016E-8
621579,149961,0.0
621579,621300,0.0
621579,1535,0.0
621579,621669,0.0
Video1, Video2, Simulated_Score
613521,165084,2.74688E-9
613521,149961,0.0
613521,621300,0.0
613521,1535,0.0
613521,621669,0.0
Video1, Video2, Simulated_Score
624310,165084,2.74688E-9
624310,149961,0.0
624310,621300,0.0
624310,1535,0.0
624310,621669,0.0
Video1, Video2, Simulated_Score
2221,165084,3.4336E-10
2221,149961,0.0
2221,621300,0.0
2221,1535,0.0
2221,621669,0.0
Video1, Video2, Simulated_Score
155955,165084,1.2198598E-24
155955,149961,0.0
155955,621300,0.0
155955,1535,0.0
155955,621669,0.0
