621039,Waterschansspringen,Internationale wedstrijd schansspringen voor waterskiërs te Anna Paulowna; met oa een demonstratie met een menselijke piramide. Kelvin Phelan uit Groot-Brittannië wordt eerste en wint de Zilveren Tulp; Ulleberg wordt tweede. Verder verschillende mensen die ten val komen.
630387,Nieuws van de 12de internationale huishoudbeurs,12de huishoudbeurs in de RAI te Amsterdam; met een keuken waar aardappelhapjes worden bereid; een aardappelschilmachine die op water werkt; een jampot-opener; een pollepel met ingebouwde weegschaal; een elektrische braadpan; een wasmachine; een miniatuurcentrifuge; een eetkamerkast met uitklaptafel en een handtas die tot boodschappentas kan worden omgebouwd.
613631,Jaarlijkse Vondelpark estafette,Beelden van de jaarlijkse Vondelpark-estafette te Amsterdam; (met regenachtig weer) waarbij Amsterdamse Athletiek Club (AAC) winnaar werd en Jan Zeegers als eerste de finish passeerde. -Start estafette 11"; -div. shots wedstrijd met finish Jan Zeegers 15"; -pan langs ploeg atleten van de AAC; die in 1931 won 5";
151278,Vleugel van nieuw stadhuis gereed,Het Eindhovens gemeentebestuur huisde; met het grootste deel van de ambtenaren; jarenlang in een oude villa. Nieuwbouw voor een nieuw stadhuis ving aan in 1948. Nu is een gedeelte van het nieuwe stadhuis gereed en wordt het; iav div. notabelen waaronder de minister van Binnenlandse Zaken; dr. L.J.M. Beel; geopend door burgemeester; mr. H.A.M.T. Kolfschoten. SHOTS: - Ext. oude behuizing; - ext. nieuwe stadhuis; - int. nieuwe stadhuis: gangen; kantoren; burgemeesterskamer mét antieke klok; trouwzaal; - de groep notabelen komt over straat aanlopen bij het nieuwe stadhuis; - op de stoep biedt de architect; ir. Van der Laan(?) de sleutel aan aan Kolfschoten die de deur opent; - een grote menigte belangstellenden staat voor het gebouw en ziet hoe aan de gevel de vlag ontrold wordt.
2235,Noodlanding oefening helicopters,Rampenoefening voor KLM-personeel van de Noordzeehelikopters op het Gooimeer. Een helikopter maakt een noodlanding op het water; personeel gooit een rubber reddingboot uit en de mensen stappen erin over. Vervolgens stijgt de helikopter op. Met beelden van een KLM-helikopter die op een booreiland land.
631469,P.T.T. Postbezorging per boot in de Biesbosch,Vijf dagen per week bezorgt postbode Cees Schuller per PTT-motorboot post bij bewoners in het eilandrijke gebied de Biesbosch. SHOTS: PTT Post-boot vaart door het winterse landschap van de Biesbosch; postbode bezorgt post en haalt brieven op bij huizen op eilandjes in het natuurgebied; Schuller drinkt koffie bij bewoners.
165057,PSV landskampioen,In de voorlaatste speelronde van de competitie strijden PSV en Ajax in een rechtstreeks duel om de landstitel. Op het eigen Philips Sportpark winnen de Eindhovenaren met 5-2 (rust 2-1) en behalen het eerste kampioenschap in de Eredivisie. Met doelpunten voor PSV van Lambert Maassen (1-0); Gerard Hoenen (2-1); Pierre Kerkhoffs (3-1); invaller Wim Wolbers (5-2) en een eigen doepunt van Ajacied Piet Ouderland die in eigen doel kopt (4-2); enthousiaste PSV-supporters nemen meerdere keren bezit van het speelveld en nemen na afloop de spelers op de schouders o.a. doelman Gert Bals en aanvoerder Roel Wiersma.
1535,Politie zwemfeest,In het Sportfondsenbad te Amsterdam demonstreren politieagenten in opleiding hun zwemvaardigheden voor collega's in uniform en een talrijk publiek.
155955,Burgemeester houdt zijn intocht,De verhuizing van de burgemeester van Geldrop; Van der Putte; op traditionele Brabantse wijze. SHOTS: - paard-en-wagen wordt volgeladen met meubels; terwijl man en vrouw accordeon bespelen; - twee mannen dragen bedpan met kandelaar en brandende kaars naar buiten; - burgemeester en zijn vrouw nemen plaats in huifkar; - wagens vertrekken van huis; - div. shots van stoet onderweg; in de stoet loopt oa muziekkapel mee; - stoet stopt en Van der Putte en zijn vrouw stappen uit.
616531,Hard-schreeuw wedstrijd,Op de markt in Den Bosch kon publiek meedoen aan wedstrijden hard-schreeuwen en klompen-stampen.SHOTS: deelnemers aan de wedstrijden hard-schreeuwen en klompen-stampen.
631648,Verdwijnend beroep in West Friesland,Juffrouw Bos uit het West-friese Wognum heeft 45 jaar ervaring met het op de juiste manier aanbrengen van plooien in de zgn. hul; de kanten hoofddoek van de Westfriese vrouwen. Ze legt haar werk nu neer vanwege haar leeftijd en het steeds geringer wordend aantal klanten. SHOTS: - Ext. kerk en hoofdstraat Wognum; - ext. + int. huis van juffrouw Bos; zij ontvangt een klant en demonstreert hoe de plooien moeten worden gemaakt.
630283,De ''Hip-o-hop'' rage bereikt Amsterdam,Kinderen spelen op de nieuwe rage; de springstok hip-o-hip. Op de Noordermarkt te Amsterdam worden wedstrijden voor kinderen gehouden.
1857,Kampeertrein voor de Amsterdamse jeugd,De Amsterdamse stichting "Jongeren en Studenten" heeft de beschikking over een tweetal zeer bijzondere vervoermiddelen: een kampeertrein en een kampeerboot. De trein bestaat uit acht wagons die bij elkaar horen en samen een compleet ingericht rijdend jeugdhuis vormen. In de zomer wordt de trein naar buiten gereden en dient hij als kampeergelegenheid voor zo'n vijftig jeugdige Amsterdammertjes. De staf bestaat uit studenten. Beelden van de trein staand bij het station van Rhenen; div. kampeeractiviteiten; spelende kinderen en het vertrek van de kampeerboot.
615588,Nationale ruilbeurs voor verzamelaars in Amsterdam,Verzamelaarsbeurs Dag der Verzamelaars in de Koopmansbeurs te Amsterdam; met oa suikerzakjes; autocuriositeiten; handdoeken; foto's van Romy Schneider; sigarenbandjes en prentbriefkaarten.
618109,Stockcar-races in de regen,Simon de Hoop uit Maasland wint in de stromende regen de stockcar-race te Blaricum. Vervolgens wordt er een wedstrijd met Volkswagen Kevers gehouden.
